Chave,TUD,Stemmer
201400201610443632451,616,UniNE
201400300048443633121,1282,NoStem
201400300048443633121,1056,Porter
201400300048443633121,984,RSLP
201400300048443633121,1221,RSLPS
201400300048443633121,1195,UniNE
201400301565443633051,803,NoStem
201400301565443633051,698,Porter
201400301565443633051,665,RSLP
201400301565443633051,767,RSLPS
201400301565443633051,742,UniNE
201400302006443634951,659,NoStem
201400302006443634951,586,Porter
201400302006443634951,547,RSLP
201400302006443634951,625,RSLPS
201400302006443634951,615,UniNE
201400302017443633502,230,NoStem
201400302017443633502,216,Porter
201400302017443633502,199,RSLP
201400302017443633502,222,RSLPS
201400302017443633502,222,UniNE
201400303107443633361,918,NoStem
201400303107443633361,777,Porter
201400303107443633361,730,RSLP
201400303107443633361,880,RSLPS
201400303107443633361,852,UniNE
201400303755443632811,387,NoStem
201400303755443632811,345,Porter
201400303755443632811,333,RSLP
201400303755443632811,368,RSLPS
201400303755443632811,367,UniNE
201400304136443633211,879,NoStem
201400304136443633211,746,Porter
201400304136443633211,704,RSLP
201400304136443633211,842,RSLPS
201400304136443633211,827,UniNE
201400305517443632991,661,NoStem
201400305517443632991,585,Porter
201400305517443632991,548,RSLP
201400305517443632991,627,RSLPS
201400305517443632991,620,UniNE
201400306046443633841,1032,NoStem
201400306046443633841,863,Porter
201400306046443633841,807,RSLP
201400306046443633841,982,RSLPS
201400306046443633841,942,UniNE
201400307114443633151,1272,NoStem
201400307114443633151,1020,Porter
201400307114443633151,947,RSLP
201400307114443633151,1192,RSLPS
201400307114443633151,1166,UniNE
201400307510443633071,630,NoStem
201400307510443633071,563,Porter
201400307510443633071,520,RSLP
201400307510443633071,599,RSLPS
201400307510443633071,589,UniNE
201400308108443637781,1841,NoStem
201400308108443637781,1406,Porter
201400308108443637781,1299,RSLP
201400308108443637781,1725,RSLPS
201400308108443637781,1616,UniNE
201400309988443633821,728,NoStem
201400309988443633821,626,Porter
201400309988443633821,577,RSLP
201400309988443633821,690,RSLPS
201400309988443633821,673,UniNE
201400311594443633931,702,NoStem
201400311594443633931,599,Porter
201400311594443633931,562,RSLP
201400311594443633931,664,RSLPS
201400311594443633931,644,UniNE
201400312776443635171,289,NoStem
201400312776443635171,271,Porter
201400312776443635171,259,RSLP
201400312776443635171,283,RSLPS
201400312776443635171,283,UniNE
201400312779443634053,537,NoStem
201400312779443634053,473,Porter
201400312779443634053,438,RSLP
201400312779443634053,513,RSLPS
201400312779443634053,500,UniNE
201400312854443633931,840,NoStem
201400312854443633931,720,Porter
201400312854443633931,669,RSLP
201400312854443633931,790,RSLPS
201400312854443633931,764,UniNE
201400313069443633911,819,NoStem
201400313069443633911,711,Porter
201400313069443633911,675,RSLP
201400313069443633911,780,RSLPS
201400313069443633911,758,UniNE
201400318228443634681,814,NoStem
201400318228443634681,707,Porter
201400318228443634681,664,RSLP
201400318228443634681,779,RSLPS
201400318228443634681,759,UniNE
201400318476443634391,784,NoStem
201400318476443634391,684,Porter
201400318476443634391,646,RSLP
201400318476443634391,746,RSLPS
201400318476443634391,719,UniNE
201400319401443634611,423,NoStem
201400319401443634611,386,Porter
201400319401443634611,369,RSLP
201400319401443634611,412,RSLPS
201400319401443634611,401,UniNE
201400319596443634831,1557,NoStem
201400319596443634831,1263,Porter
201400319596443634831,1193,RSLP
201400319596443634831,1481,RSLPS
201400319596443634831,1428,UniNE
201400319607443635252,818,NoStem
201400319607443635252,680,Porter
201400319607443635252,632,RSLP
201400319607443635252,767,RSLPS
201400319607443635252,747,UniNE
201400319726443634951,487,NoStem
201400319726443634951,432,Porter
201400319726443634951,404,RSLP
201400319726443634951,464,RSLPS
201400319726443634951,458,UniNE
201400320523443634951,535,NoStem
201400320523443634951,464,Porter
201400320523443634951,444,RSLP
201400320523443634951,504,RSLPS
201400320523443634951,499,UniNE
201400321157443635011,679,NoStem
201400321157443635011,578,Porter
201400321157443635011,544,RSLP
201400321157443635011,647,RSLPS
201400321157443635011,629,UniNE
201400322281443635171,472,NoStem
201400322281443635171,412,Porter
201400322281443635171,382,RSLP
201400322281443635171,443,RSLPS
201400322281443635171,435,UniNE
201400323606443635261,524,NoStem
201400323606443635261,471,Porter
201400323606443635261,449,RSLP
201400323606443635261,497,RSLPS
201400323606443635261,494,UniNE
201400325563443635881,1025,NoStem
201400325563443635881,844,Porter
201400325563443635881,785,RSLP
201400325563443635881,961,RSLPS
201400325563443635881,925,UniNE
201400325665443635262,865,NoStem
201400325665443635262,725,Porter
201400325665443635262,682,RSLP
201400325665443635262,821,RSLPS
201400325665443635262,805,UniNE
201400326040443635891,878,NoStem
201400326040443635891,739,Porter
201400326040443635891,698,RSLP
201400326040443635891,833,RSLPS
201400326040443635891,806,UniNE
201400326712443635591,548,NoStem
201400326712443635591,451,Porter
201400326712443635591,424,RSLP
201400326712443635591,521,RSLPS
201400326712443635591,500,UniNE
201400329403443638094,1108,NoStem
201400329403443638094,914,Porter
201400329403443638094,855,RSLP
201400329403443638094,1055,RSLPS
201400329403443638094,1014,UniNE
201400702640443633351,1015,NoStem
201400702640443633351,845,Porter
201400702640443633351,782,RSLP
201400702640443633351,957,RSLPS
201400702640443633351,924,UniNE
201400703477443632641,722,NoStem
201400703477443632641,601,Porter
201400703477443632641,559,RSLP
201400703477443632641,677,RSLPS
201400703477443632641,662,UniNE
201400703816443632671,850,NoStem
201400703816443632671,716,Porter
201400703816443632671,665,RSLP
201400703816443632671,802,RSLPS
201400703816443632671,784,UniNE
201400704281443633631,714,NoStem
201400704281443633631,625,Porter
201400704281443633631,585,RSLP
201400704281443633631,674,RSLPS
201400704281443633631,662,UniNE
201400704330443632771,406,NoStem
201400704330443632771,378,Porter
201400704330443632771,351,RSLP
201400704330443632771,394,RSLPS
201400704330443632771,391,UniNE
201400704657443632801,1201,NoStem
201400704657443632801,929,Porter
201400704657443632801,856,RSLP
201400704657443632801,1103,RSLPS
201400704657443632801,1055,UniNE
201400705248443634491,1129,NoStem
201400705248443634491,925,Porter
201400705248443634491,860,RSLP
201400705248443634491,1061,RSLPS
201400705248443634491,1007,UniNE
201400705512443633501,599,NoStem
201400705512443633501,526,Porter
201400705512443633501,494,RSLP
201400705512443633501,570,RSLPS
201400705512443633501,562,UniNE
201400705994443632791,793,NoStem
201400705994443632791,664,Porter
201400705994443632791,611,RSLP
201400705994443632791,738,RSLPS
201400705994443632791,718,UniNE
201400706052443633221,1092,NoStem
201400706052443633221,918,Porter
201400706052443633221,851,RSLP
201400706052443633221,1031,RSLPS
201400706052443633221,1002,UniNE
201400706444443632811,402,NoStem
201400706444443632811,350,Porter
201400706444443632811,331,RSLP
201400706444443632811,387,RSLPS
201400706444443632811,380,UniNE
201400707412443633021,758,NoStem
201400707412443633021,645,Porter
201400707412443633021,601,RSLP
201400707412443633021,727,RSLPS
201400707412443633021,705,UniNE
201400708077443633361,894,NoStem
201400708077443633361,749,Porter
201400708077443633361,699,RSLP
201400708077443633361,845,RSLPS
201400708077443633361,815,UniNE
201400709095443633631,672,NoStem
201400709095443633631,575,Porter
201400709095443633631,527,RSLP
201400709095443633631,632,RSLPS
201400709095443633631,622,UniNE
201400709947443634001,752,NoStem
201400709947443634001,644,Porter
201400709947443634001,599,RSLP
201400709947443634001,717,RSLPS
201400709947443634001,696,UniNE
201400710740443634841,976,NoStem
201400710740443634841,829,Porter
201400710740443634841,773,RSLP
201400710740443634841,912,RSLPS
201400710740443634841,889,UniNE
201400711374443633511,404,NoStem
201400711374443633511,367,Porter
201400711374443633511,342,RSLP
201400711374443633511,389,RSLPS
201400711374443633511,388,UniNE
201400712641443634051,739,NoStem
201400712641443634051,654,Porter
201400712641443634051,618,RSLP
201400712641443634051,714,RSLPS
201400712641443634051,689,UniNE
201400712917443633631,336,NoStem
201400712917443633631,307,Porter
201400712917443633631,284,RSLP
201400712917443633631,322,RSLPS
201400712917443633631,318,UniNE
201400713624443633852,303,NoStem
201400713624443633852,277,Porter
201400713624443633852,254,RSLP
201400713624443633852,287,RSLPS
201400713624443633852,288,UniNE
201400714271443633861,969,NoStem
201400714271443633861,810,Porter
201400714271443633861,754,RSLP
201400714271443633861,914,RSLPS
201400714271443633861,883,UniNE
201400714574443634631,573,NoStem
201400714574443634631,501,Porter
201400714574443634631,471,RSLP
201400714574443634631,547,RSLPS
201400714574443634631,541,UniNE
201400714748443633991,302,NoStem
201400714748443633991,272,Porter
201400714748443633991,250,RSLP
201400714748443633991,288,RSLPS
201400714748443633991,284,UniNE
201400715476443634061,678,NoStem
201400715476443634061,576,Porter
201400715476443634061,528,RSLP
201400715476443634061,629,RSLPS
201400715476443634061,619,UniNE
201400715744443634191,832,NoStem
201400715744443634191,704,Porter
201400715744443634191,651,RSLP
201400715744443634191,779,RSLPS
201400715744443634191,751,UniNE
201400715775443634551,1121,NoStem
201400715775443634551,937,Porter
201400715775443634551,868,RSLP
201400715775443634551,1056,RSLPS
201400715775443634551,1013,UniNE
201400716900443634273,983,NoStem
201400716900443634273,852,Porter
201400716900443634273,792,RSLP
201400716900443634273,931,RSLPS
201400716900443634273,912,UniNE
201400716947443634271,1457,NoStem
201400716947443634271,1169,Porter
201400716947443634271,1079,RSLP
201400716947443634271,1359,RSLPS
201400716947443634271,1292,UniNE
201400717947443634701,660,NoStem
201400717947443634701,558,Porter
201400717947443634701,524,RSLP
201400717947443634701,623,RSLPS
201400717947443634701,613,UniNE
201400718436443635111,995,NoStem
201400718436443635111,834,Porter
201400718436443635111,786,RSLP
201400718436443635111,943,RSLPS
201400718436443635111,915,UniNE
201400718439443634281,599,NoStem
201400718439443634281,521,Porter
201400718439443634281,488,RSLP
201400718439443634281,567,RSLPS
201400718439443634281,559,UniNE
201400718530443639531,906,NoStem
201400718530443639531,739,Porter
201400718530443639531,682,RSLP
201400718530443639531,835,RSLPS
201400718530443639531,810,UniNE
201400718681443635081,1072,NoStem
201400718681443635081,861,Porter
201400718681443635081,791,RSLP
201400718681443635081,996,RSLPS
201400718681443635081,951,UniNE
201400718951443635321,565,NoStem
201400718951443635321,497,Porter
201400718951443635321,466,RSLP
201400718951443635321,541,RSLPS
201400718951443635321,530,UniNE
201400719112443634551,386,NoStem
201400719112443634551,350,Porter
201400719112443634551,329,RSLP
201400719112443634551,376,RSLPS
201400719112443634551,365,UniNE
201400719636443634701,327,NoStem
201400719636443634701,298,Porter
201400719636443634701,281,RSLP
201400719636443634701,314,RSLPS
201400719636443634701,315,UniNE
201400720330443634621,770,NoStem
201400720330443634621,620,Porter
201400720330443634621,571,RSLP
201400720330443634621,712,RSLPS
201400720330443634621,687,UniNE
201400721223443635111,1087,NoStem
201400721223443635111,880,Porter
201400721223443635111,813,RSLP
201400721223443635111,1019,RSLPS
201400721223443635111,994,UniNE
201400721300443634551,689,NoStem
201400721300443634551,598,Porter
201400721300443634551,566,RSLP
201400721300443634551,662,RSLPS
201400721300443634551,644,UniNE
201400721554443637571,671,NoStem
201400721554443637571,598,Porter
201400721554443637571,554,RSLP
201400721554443637571,639,RSLPS
201400721554443637571,631,UniNE
201400721893443635051,448,NoStem
201400721893443635051,397,Porter
201400721893443635051,374,RSLP
201400721893443635051,424,RSLPS
201400721893443635051,417,UniNE
201400722402443634761,937,NoStem
201400722402443634761,787,Porter
201400722402443634761,735,RSLP
201400722402443634761,882,RSLPS
201400722402443634761,855,UniNE
201400724052443635051,537,NoStem
201400724052443635051,475,Porter
201400724052443635051,441,RSLP
201400724052443635051,521,RSLPS
201400724052443635051,501,UniNE
