Chave,TUD,Stemmer
201501007256371641201,962,Porter
201501007256371641201,882,RSLP
201501007256371641201,1077,RSLPS
201501007256371641201,1034,UniNE
201501008043371641201,575,NoStem
201501008043371641201,519,Porter
201501008043371641201,487,RSLP
201501008043371641201,555,RSLPS
201501008043371641201,545,UniNE
201501008055371641201,370,NoStem
201501008055371641201,332,Porter
201501008055371641201,315,RSLP
201501008055371641201,360,RSLPS
201501008055371641201,358,UniNE
201501009327371641201,972,NoStem
201501009327371641201,806,Porter
201501009327371641201,748,RSLP
201501009327371641201,905,RSLPS
201501009327371641201,876,UniNE
201601003251371641201,239,NoStem
201601003251371641201,225,Porter
201601003251371641201,209,RSLP
201601003251371641201,233,RSLPS
201601003251371641201,232,UniNE
201501002643371641181,531,NoStem
201501002643371641181,469,Porter
201501002643371641181,440,RSLP
201501002643371641181,508,RSLPS
201501002643371641181,499,UniNE
201501006774371641181,304,NoStem
201501006774371641181,286,Porter
201501006774371641181,267,RSLP
201501006774371641181,295,RSLPS
201501006774371641181,296,UniNE
201501007469371641181,504,NoStem
201501007469371641181,445,Porter
201501007469371641181,413,RSLP
201501007469371641181,482,RSLPS
201501007469371641181,475,UniNE
201501008954371641181,490,NoStem
201501008954371641181,444,Porter
201501008954371641181,420,RSLP
201501008954371641181,473,RSLPS
201501008954371641181,462,UniNE
201501008964371641182,160,NoStem
201501008964371641182,153,Porter
201501008964371641182,142,RSLP
201501008964371641182,155,RSLPS
201501008964371641182,153,UniNE
201501009399371641181,540,NoStem
201501009399371641181,479,Porter
201501009399371641181,451,RSLP
201501009399371641181,524,RSLPS
201501009399371641181,516,UniNE
201601001449371641181,660,NoStem
201601001449371641181,583,Porter
201601001449371641181,543,RSLP
201601001449371641181,618,RSLPS
201601001449371641181,608,UniNE
201301004061371641131,568,NoStem
201301004061371641131,518,Porter
201301004061371641131,479,RSLP
201301004061371641131,539,RSLPS
201301004061371641131,534,UniNE
201501007135371641131,717,NoStem
201501007135371641131,633,Porter
201501007135371641131,595,RSLP
201501007135371641131,682,RSLPS
201501007135371641131,666,UniNE
201501009308371641131,1060,NoStem
201501009308371641131,887,Porter
201501009308371641131,817,RSLP
201501009308371641131,998,RSLPS
201501009308371641131,957,UniNE
201601001964371641131,688,NoStem
201601001964371641131,598,Porter
201601001964371641131,555,RSLP
201601001964371641131,654,RSLPS
201601001964371641131,641,UniNE
201601002911371641131,488,NoStem
201601002911371641131,446,Porter
201601002911371641131,417,RSLP
201601002911371641131,469,RSLPS
201601002911371641131,465,UniNE
201501005186371641111,385,NoStem
201501005186371641111,346,Porter
201501005186371641111,321,RSLP
201501005186371641111,369,RSLPS
201501005186371641111,363,UniNE
201501008514371641051,917,NoStem
201501008514371641051,791,Porter
201501008514371641051,730,RSLP
201501008514371641051,875,RSLPS
201501008514371641051,849,UniNE
201501008649371641051,288,NoStem
201501008649371641051,267,Porter
201501008649371641051,255,RSLP
201501008649371641051,283,RSLPS
201501008649371641051,278,UniNE
201501008283371640991,853,NoStem
201501008283371640991,728,Porter
201501008283371640991,671,RSLP
201501008283371640991,793,RSLPS
201501008283371640991,774,UniNE
201501007875371640921,752,NoStem
201501007875371640921,640,Porter
201501007875371640921,597,RSLP
201501007875371640921,700,RSLPS
201501007875371640921,680,UniNE
201501007876371640901,351,NoStem
201501007876371640901,322,Porter
201501007876371640901,304,RSLP
201501007876371640901,339,RSLPS
201501007876371640901,337,UniNE
201601000708371640901,408,NoStem
201601000708371640901,373,Porter
201601000708371640901,350,RSLP
201601000708371640901,395,RSLPS
201601000708371640901,389,UniNE
201501004501371640861,298,NoStem
201501004501371640861,280,Porter
201501004501371640861,263,RSLP
201501004501371640861,288,RSLPS
201501004501371640861,288,UniNE
201501005491371640861,690,NoStem
201501005491371640861,593,Porter
201501005491371640861,558,RSLP
201501005491371640861,652,RSLPS
201501005491371640861,638,UniNE
201501008670371640861,183,NoStem
201501008670371640861,178,Porter
201501008670371640861,168,RSLP
201501008670371640861,180,RSLPS
201501008670371640861,179,UniNE
201501007147371640851,760,NoStem
201501007147371640851,656,Porter
201501007147371640851,615,RSLP
201501007147371640851,725,RSLPS
201501007147371640851,717,UniNE
201501007406371640831,357,NoStem
201501007406371640831,331,Porter
201501007406371640831,311,RSLP
201501007406371640831,348,RSLPS
201501007406371640831,347,UniNE
201501007506371640831,472,NoStem
201501007506371640831,412,Porter
201501007506371640831,383,RSLP
201501007506371640831,441,RSLPS
201501007506371640831,433,UniNE
201501007589371640831,377,NoStem
201501007589371640831,347,Porter
201501007589371640831,331,RSLP
201501007589371640831,366,RSLPS
201501007589371640831,364,UniNE
201501007262371640761,815,NoStem
201501007262371640761,695,Porter
201501007262371640761,642,RSLP
201501007262371640761,775,RSLPS
201501007262371640761,758,UniNE
201501007436371640761,359,NoStem
201501007436371640761,329,Porter
201501007436371640761,315,RSLP
201501007436371640761,349,RSLPS
201501007436371640761,343,UniNE
201501007623371640761,384,NoStem
201501007623371640761,339,Porter
201501007623371640761,324,RSLP
201501007623371640761,374,RSLPS
201501007623371640761,366,UniNE
201501007050371640721,633,NoStem
201501007050371640721,543,Porter
201501007050371640721,502,RSLP
201501007050371640721,601,RSLPS
201501007050371640721,592,UniNE
201501006140371640711,594,NoStem
201501006140371640711,515,Porter
201501006140371640711,486,RSLP
201501006140371640711,560,RSLPS
201501006140371640711,551,UniNE
201501006471371640711,1265,NoStem
201501006471371640711,1012,Porter
201501006471371640711,935,RSLP
201501006471371640711,1174,RSLPS
201501006471371640711,1118,UniNE
201501008204371640711,574,NoStem
201501008204371640711,513,Porter
201501008204371640711,472,RSLP
201501008204371640711,551,RSLPS
201501008204371640711,535,UniNE
201501004365371640691,364,NoStem
201501004365371640691,325,Porter
201501004365371640691,300,RSLP
201501004365371640691,350,RSLPS
201501004365371640691,345,UniNE
201501007054371640691,413,NoStem
201501007054371640691,372,Porter
201501007054371640691,349,RSLP
201501007054371640691,392,RSLPS
201501007054371640691,390,UniNE
201501007180371640691,360,NoStem
201501007180371640691,327,Porter
201501007180371640691,309,RSLP
201501007180371640691,351,RSLPS
201501007180371640691,348,UniNE
201501007218371640691,413,NoStem
201501007218371640691,373,Porter
201501007218371640691,353,RSLP
201501007218371640691,388,RSLPS
201501007218371640691,386,UniNE
201501007268371640691,295,NoStem
201501007268371640691,270,Porter
201501007268371640691,256,RSLP
201501007268371640691,284,RSLPS
201501007268371640691,283,UniNE
201501007802371640691,401,NoStem
201501007802371640691,370,Porter
201501007802371640691,344,RSLP
201501007802371640691,384,RSLPS
201501007802371640691,382,UniNE
201501008342371640691,409,NoStem
201501008342371640691,359,Porter
201501008342371640691,335,RSLP
201501008342371640691,393,RSLPS
201501008342371640691,389,UniNE
201501008628371640691,322,NoStem
201501008628371640691,302,Porter
201501008628371640691,285,RSLP
201501008628371640691,313,RSLPS
201501008628371640691,314,UniNE
201501011606371640691,370,NoStem
201501011606371640691,339,Porter
201501011606371640691,319,RSLP
201501011606371640691,353,RSLPS
201501011606371640691,350,UniNE
201501011954371640691,309,NoStem
201501011954371640691,285,Porter
201501011954371640691,268,RSLP
201501011954371640691,297,RSLPS
201501011954371640691,295,UniNE
201601001195371640691,314,NoStem
201601001195371640691,297,Porter
201601001195371640691,274,RSLP
201601001195371640691,306,RSLPS
201601001195371640691,305,UniNE
201501005052371640621,422,NoStem
201501005052371640621,382,Porter
201501005052371640621,360,RSLP
201501005052371640621,409,RSLPS
201501005052371640621,403,UniNE
201501005617371640621,745,NoStem
201501005617371640621,651,Porter
201501005617371640621,604,RSLP
201501005617371640621,712,RSLPS
201501005617371640621,696,UniNE
201501006639371640621,672,NoStem
201501006639371640621,584,Porter
201501006639371640621,557,RSLP
201501006639371640621,649,RSLPS
201501006639371640621,639,UniNE
201501006896371640621,467,NoStem
201501006896371640621,422,Porter
201501006896371640621,394,RSLP
201501006896371640621,451,RSLPS
201501006896371640621,448,UniNE
201501003158371640552,512,NoStem
201501003158371640552,467,Porter
201501003158371640552,444,RSLP
201501003158371640552,494,RSLPS
201501003158371640552,491,UniNE
201501004438371640551,969,NoStem
201501004438371640551,816,Porter
201501004438371640551,756,RSLP
201501004438371640551,907,RSLPS
201501004438371640551,879,UniNE
201501005198371640551,1021,NoStem
201501005198371640551,857,Porter
201501005198371640551,791,RSLP
201501005198371640551,954,RSLPS
201501005198371640551,922,UniNE
201501005781371640551,456,NoStem
201501005781371640551,411,Porter
201501005781371640551,385,RSLP
201501005781371640551,434,RSLPS
201501005781371640551,428,UniNE
201501006492371640551,387,NoStem
201501006492371640551,359,Porter
201501006492371640551,338,RSLP
201501006492371640551,376,RSLPS
201501006492371640551,376,UniNE
201501006212371640501,365,NoStem
201501006212371640501,329,Porter
201501006212371640501,304,RSLP
201501006212371640501,348,RSLPS
201501006212371640501,341,UniNE
201501006435371640501,640,NoStem
201501006435371640501,549,Porter
201501006435371640501,517,RSLP
201501006435371640501,608,RSLPS
201501006435371640501,590,UniNE
201501006630371640501,398,NoStem
201501006630371640501,358,Porter
201501006630371640501,337,RSLP
201501006630371640501,380,RSLPS
201501006630371640501,373,UniNE
201501008553371640501,558,NoStem
201501008553371640501,495,Porter
201501008553371640501,466,RSLP
201501008553371640501,532,RSLPS
201501008553371640501,526,UniNE
201501009138371640501,505,NoStem
201501009138371640501,450,Porter
201501009138371640501,429,RSLP
201501009138371640501,483,RSLPS
201501009138371640501,476,UniNE
201501006030371640481,433,NoStem
201501006030371640481,380,Porter
201501006030371640481,352,RSLP
201501006030371640481,415,RSLPS
201501006030371640481,406,UniNE
201501006161371640481,504,NoStem
201501006161371640481,441,Porter
201501006161371640481,405,RSLP
201501006161371640481,485,RSLPS
201501006161371640481,476,UniNE
201501006302371640481,696,NoStem
201501006302371640481,588,Porter
201501006302371640481,547,RSLP
201501006302371640481,661,RSLPS
201501006302371640481,640,UniNE
201501006532371640481,690,NoStem
201501006532371640481,599,Porter
201501006532371640481,562,RSLP
201501006532371640481,656,RSLPS
201501006532371640481,641,UniNE
201501006228371640431,424,NoStem
201501006228371640431,386,Porter
201501006228371640431,361,RSLP
201501006228371640431,410,RSLPS
201501006228371640431,405,UniNE
201501006462371640431,521,NoStem
201501006462371640431,476,Porter
201501006462371640431,442,RSLP
201501006462371640431,507,RSLPS
201501006462371640431,496,UniNE
201601001170371640432,521,NoStem
201601001170371640432,468,Porter
201601001170371640432,444,RSLP
201601001170371640432,505,RSLPS
201601001170371640432,495,UniNE
201501002896371640411,341,NoStem
201501002896371640411,312,Porter
201501002896371640411,294,RSLP
201501002896371640411,325,RSLPS
201501002896371640411,323,UniNE
201501004954371640411,533,NoStem
201501004954371640411,471,Porter
201501004954371640411,442,RSLP
201501004954371640411,503,RSLPS
201501004954371640411,495,UniNE
201501005384371640411,557,NoStem
201501005384371640411,500,Porter
201501005384371640411,474,RSLP
201501005384371640411,536,RSLPS
201501005384371640411,523,UniNE
201501005825371640411,471,NoStem
201501005825371640411,423,Porter
201501005825371640411,385,RSLP
