Chave,TUD,Stemmer
201201000575371625111,347,RSLPS
201201000575371625111,344,UniNE
201201001045371625131,223,NoStem
201201001045371625131,212,Porter
201201001045371625131,201,RSLP
201201001045371625131,217,RSLPS
201201001045371625131,217,UniNE
201100900369371625141,749,NoStem
201100900369371625141,647,Porter
201100900369371625141,602,RSLP
201100900369371625141,697,RSLPS
201100900369371625141,680,UniNE
201101002304371625141,626,NoStem
201101002304371625141,540,Porter
201101002304371625141,503,RSLP
201101002304371625141,582,RSLPS
201101002304371625141,569,UniNE
201201000044371625151,627,NoStem
201201000044371625151,543,Porter
201201000044371625151,506,RSLP
201201000044371625151,585,RSLPS
201201000044371625151,572,UniNE
201201000072371625151,632,NoStem
201201000072371625151,546,Porter
201201000072371625151,509,RSLP
201201000072371625151,588,RSLPS
201201000072371625151,575,UniNE
201201000081371625151,627,NoStem
201201000081371625151,542,Porter
201201000081371625151,505,RSLP
201201000081371625151,585,RSLPS
201201000081371625151,573,UniNE
201201000274371625161,363,NoStem
201201000274371625161,341,Porter
201201000274371625161,317,RSLP
201201000274371625161,349,RSLPS
201201000274371625161,349,UniNE
201101002307371625161,616,NoStem
201101002307371625161,540,Porter
201101002307371625161,501,RSLP
201101002307371625161,574,RSLPS
201101002307371625161,566,UniNE
201201000277371625161,366,NoStem
201201000277371625161,345,Porter
201201000277371625161,320,RSLP
201201000277371625161,352,RSLPS
201201000277371625161,352,UniNE
201201000662371625311,297,NoStem
201201000662371625311,276,Porter
201201000662371625311,258,RSLP
201201000662371625311,283,RSLPS
201201000662371625311,287,UniNE
201101001843371625321,315,NoStem
201101001843371625321,296,Porter
201101001843371625321,281,RSLP
201101001843371625321,302,RSLPS
201101001843371625321,304,UniNE
201101002327371625371,269,NoStem
201101002327371625371,246,Porter
201101002327371625371,242,RSLP
201101002327371625371,265,RSLPS
201101002327371625371,258,UniNE
201201001246371625381,625,NoStem
201201001246371625381,539,Porter
201201001246371625381,502,RSLP
201201001246371625381,581,RSLPS
201201001246371625381,568,UniNE
201201001006371625381,630,NoStem
201201001006371625381,544,Porter
201201001006371625381,505,RSLP
201201001006371625381,588,RSLPS
201201001006371625381,572,UniNE
201201001472371625461,640,NoStem
201201001472371625461,553,Porter
201201001472371625461,513,RSLP
201201001472371625461,596,RSLPS
201201001472371625461,580,UniNE
201201001580371625461,634,NoStem
201201001580371625461,546,Porter
201201001580371625461,507,RSLP
201201001580371625461,590,RSLPS
201201001580371625461,574,UniNE
201201000311371625481,397,NoStem
201201000311371625481,375,Porter
201201000311371625481,360,RSLP
201201000311371625481,388,RSLPS
201201000311371625481,384,UniNE
201201001253371625491,270,NoStem
201201001253371625491,243,Porter
201201001253371625491,227,RSLP
201201001253371625491,255,RSLPS
201201001253371625491,250,UniNE
201201001144371625561,376,NoStem
201201001144371625561,352,Porter
201201001144371625561,326,RSLP
201201001144371625561,362,RSLPS
201201001144371625561,362,UniNE
201201001795371625561,376,NoStem
201201001795371625561,352,Porter
201201001795371625561,326,RSLP
201201001795371625561,362,RSLPS
201201001795371625561,362,UniNE
201201001927371625561,627,NoStem
201201001927371625561,542,Porter
201201001927371625561,506,RSLP
201201001927371625561,584,RSLPS
201201001927371625561,572,UniNE
201201001840371625571,196,NoStem
201201001840371625571,185,Porter
201201001840371625571,175,RSLP
201201001840371625571,193,RSLPS
201201001840371625571,191,UniNE
201201001695371625581,598,NoStem
201201001695371625581,521,Porter
201201001695371625581,491,RSLP
201201001695371625581,575,RSLPS
201201001695371625581,559,UniNE
201201001716371625581,670,NoStem
201201001716371625581,577,Porter
201201001716371625581,537,RSLP
201201001716371625581,626,RSLPS
201201001716371625581,611,UniNE
201201001325371625641,176,NoStem
201201001325371625641,164,Porter
201201001325371625641,155,RSLP
201201001325371625641,169,RSLPS
201201001325371625641,170,UniNE
201201000126371625701,520,NoStem
201201000126371625701,453,Porter
201201000126371625701,422,RSLP
201201000126371625701,497,RSLPS
201201000126371625701,491,UniNE
201201001922371625751,435,NoStem
201201001922371625751,390,Porter
201201001922371625751,371,RSLP
201201001922371625751,425,RSLPS
201201001922371625751,420,UniNE
201201002038371625751,230,NoStem
201201002038371625751,217,Porter
201201002038371625751,211,RSLP
201201002038371625751,226,RSLPS
201201002038371625751,222,UniNE
201201002226371625751,770,NoStem
201201002226371625751,659,Porter
201201002226371625751,605,RSLP
201201002226371625751,718,RSLPS
201201002226371625751,703,UniNE
201201001765371625771,819,NoStem
201201001765371625771,697,Porter
201201001765371625771,641,RSLP
201201001765371625771,761,RSLPS
201201001765371625771,744,UniNE
201201002015371625771,839,NoStem
201201002015371625771,710,Porter
201201002015371625771,655,RSLP
201201002015371625771,780,RSLPS
201201002015371625771,761,UniNE
201201002531371625771,617,NoStem
201201002531371625771,535,Porter
201201002531371625771,499,RSLP
201201002531371625771,575,RSLPS
201201002531371625771,563,UniNE
201201001675371625781,915,NoStem
201201001675371625781,775,Porter
201201001675371625781,715,RSLP
201201001675371625781,853,RSLPS
201201001675371625781,830,UniNE
201201002351371625801,632,NoStem
201201002351371625801,547,Porter
201201002351371625801,510,RSLP
201201002351371625801,590,RSLPS
201201002351371625801,577,UniNE
201201002320371625851,244,NoStem
201201002320371625851,229,Porter
201201002320371625851,220,RSLP
201201002320371625851,240,RSLPS
201201002320371625851,234,UniNE
201201002375371625871,267,NoStem
201201002375371625871,252,Porter
201201002375371625871,241,RSLP
201201002375371625871,262,RSLPS
201201002375371625871,257,UniNE
201201002870371625911,228,NoStem
201201002870371625911,214,Porter
201201002870371625911,202,RSLP
201201002870371625911,222,RSLPS
201201002870371625911,221,UniNE
201201000779371625931,203,NoStem
201201000779371625931,187,Porter
201201000779371625931,179,RSLP
201201000779371625931,196,RSLPS
201201000779371625931,194,UniNE
201201002226371625931,172,NoStem
201201002226371625931,165,Porter
201201002226371625931,155,RSLP
201201002226371625931,169,RSLPS
201201002226371625931,169,UniNE
201201001253371625931,262,NoStem
201201001253371625931,249,Porter
201201001253371625931,226,RSLP
201201001253371625931,252,RSLPS
201201001253371625931,254,UniNE
201201002914371625951,357,NoStem
201201002914371625951,336,Porter
201201002914371625951,312,RSLP
201201002914371625951,343,RSLPS
201201002914371625951,343,UniNE
201201002964371625951,607,NoStem
201201002964371625951,533,Porter
201201002964371625951,493,RSLP
201201002964371625951,576,RSLPS
201201002964371625951,565,UniNE
201201002896371625981,634,NoStem
201201002896371625981,549,Porter
201201002896371625981,513,RSLP
201201002896371625981,592,RSLPS
201201002896371625981,579,UniNE
201201002422371625981,630,NoStem
201201002422371625981,545,Porter
201201002422371625981,508,RSLP
201201002422371625981,588,RSLPS
201201002422371625981,576,UniNE
201201003170371625991,293,NoStem
201201003170371625991,278,Porter
201201003170371625991,265,RSLP
201201003170371625991,282,RSLPS
201201003170371625991,284,UniNE
201201003201371626021,220,NoStem
201201003201371626021,207,Porter
201201003201371626021,203,RSLP
201201003201371626021,218,RSLPS
201201003201371626021,211,UniNE
201201003323371626071,365,NoStem
201201003323371626071,338,Porter
201201003323371626071,320,RSLP
201201003323371626071,352,RSLPS
201201003323371626071,350,UniNE
201201001336371626071,352,NoStem
201201001336371626071,316,Porter
201201001336371626071,293,RSLP
201201001336371626071,335,RSLPS
201201001336371626071,331,UniNE
201201003004371626071,582,NoStem
201201003004371626071,517,Porter
201201003004371626071,479,RSLP
201201003004371626071,551,RSLPS
201201003004371626071,541,UniNE
201201003380371626081,633,NoStem
201201003380371626081,548,Porter
201201003380371626081,510,RSLP
201201003380371626081,590,RSLPS
201201003380371626081,577,UniNE
201201003383371626081,289,NoStem
201201003383371626081,266,Porter
201201003383371626081,250,RSLP
201201003383371626081,281,RSLPS
201201003383371626081,282,UniNE
201201002865371626081,748,NoStem
201201002865371626081,651,Porter
201201002865371626081,599,RSLP
201201002865371626081,702,RSLPS
201201002865371626081,686,UniNE
201201002481371626131,823,NoStem
201201002481371626131,700,Porter
201201002481371626131,644,RSLP
201201002481371626131,764,RSLPS
201201002481371626131,746,UniNE
201201002776371626131,299,NoStem
201201002776371626131,271,Porter
201201002776371626131,257,RSLP
201201002776371626131,284,RSLPS
201201002776371626131,279,UniNE
201201002327371626131,513,NoStem
201201002327371626131,473,Porter
201201002327371626131,438,RSLP
201201002327371626131,499,RSLPS
201201002327371626131,494,UniNE
201201001807371626131,85,NoStem
201201001807371626131,82,Porter
201201001807371626131,79,RSLP
201201001807371626131,84,RSLPS
201201001807371626131,85,UniNE
201201003023371626141,814,NoStem
201201003023371626141,692,Porter
201201003023371626141,636,RSLP
201201003023371626141,753,RSLPS
201201003023371626141,735,UniNE
201201002782371626151,756,NoStem
201201002782371626151,649,Porter
201201002782371626151,598,RSLP
201201002782371626151,706,RSLPS
201201002782371626151,692,UniNE
201201002909371626171,828,NoStem
201201002909371626171,704,Porter
201201002909371626171,648,RSLP
201201002909371626171,769,RSLPS
201201002909371626171,751,UniNE
201201003295371626171,601,NoStem
201201003295371626171,527,Porter
201201003295371626171,494,RSLP
201201003295371626171,574,RSLPS
201201003295371626171,563,UniNE
201201003286371626201,358,NoStem
201201003286371626201,334,Porter
201201003286371626201,319,RSLP
201201003286371626201,349,RSLPS
201201003286371626201,347,UniNE
201201003632371626201,230,NoStem
201201003632371626201,217,Porter
201201003632371626201,211,RSLP
201201003632371626201,226,RSLPS
201201003632371626201,222,UniNE
201201003484371626221,282,NoStem
201201003484371626221,260,Porter
201201003484371626221,248,RSLP
201201003484371626221,274,RSLPS
201201003484371626221,270,UniNE
201201002699371626233,466,NoStem
201201002699371626233,423,Porter
201201002699371626233,399,RSLP
201201002699371626233,442,RSLPS
201201002699371626233,433,UniNE
201201002048371626271,194,NoStem
201201002048371626271,185,Porter
201201002048371626271,175,RSLP
201201002048371626271,191,RSLPS
201201002048371626271,190,UniNE
201201003460371626281,293,NoStem
201201003460371626281,273,Porter
201201003460371626281,259,RSLP
201201003460371626281,282,RSLPS
201201003460371626281,281,UniNE
201201003047371626291,313,NoStem
201201003047371626291,282,Porter
201201003047371626291,267,RSLP
201201003047371626291,300,RSLPS
201201003047371626291,294,UniNE
201201003435371626291,823,NoStem
201201003435371626291,700,Porter
201201003435371626291,644,RSLP
