Chave,TUD,Stemmer
201500109704371638191,444,NoStem
201500109704371638191,389,Porter
201500109704371638191,365,RSLP
201500109704371638191,424,RSLPS
201500109704371638191,413,UniNE
201500111484371636914,219,NoStem
201500111484371636914,208,Porter
201500111484371636914,200,RSLP
201500111484371636914,217,RSLPS
201500111484371636914,215,UniNE
201500111603371636931,540,NoStem
201500111603371636931,471,Porter
201500111603371636931,438,RSLP
201500111603371636931,508,RSLPS
201500111603371636931,494,UniNE
201500113402371637331,293,NoStem
201500113402371637331,266,Porter
201500113402371637331,255,RSLP
201500113402371637331,281,RSLPS
201500113402371637331,278,UniNE
201500113577371637182,554,NoStem
201500113577371637182,495,Porter
201500113577371637182,467,RSLP
201500113577371637182,523,RSLPS
201500113577371637182,516,UniNE
201500114657371637532,226,NoStem
201500114657371637532,211,Porter
201500114657371637532,198,RSLP
201500114657371637532,222,RSLPS
201500114657371637532,216,UniNE
201500114858371637501,224,NoStem
201500114858371637501,204,Porter
201500114858371637501,189,RSLP
201500114858371637501,213,RSLPS
201500114858371637501,209,UniNE
201500114919371637331,551,NoStem
201500114919371637331,479,Porter
201500114919371637331,460,RSLP
201500114919371637331,532,RSLPS
201500114919371637331,515,UniNE
201500115432371638601,499,NoStem
201500115432371638601,434,Porter
201500115432371638601,404,RSLP
201500115432371638601,477,RSLPS
201500115432371638601,467,UniNE
201500115574371637361,353,NoStem
201500115574371637361,323,Porter
201500115574371637361,305,RSLP
201500115574371637361,344,RSLPS
201500115574371637361,344,UniNE
201500116259371637462,670,NoStem
201500116259371637462,601,Porter
201500116259371637462,566,RSLP
201500116259371637462,646,RSLPS
201500116259371637462,624,UniNE
201500116539371637474,268,NoStem
201500116539371637474,251,Porter
201500116539371637474,235,RSLP
201500116539371637474,258,RSLPS
201500116539371637474,255,UniNE
201500119402371638441,56,NoStem
201500119402371638441,55,Porter
201500119402371638441,54,RSLP
201500119402371638441,56,RSLPS
201500119402371638441,55,UniNE
201500119548371639041,465,NoStem
201500119548371639041,419,Porter
201500119548371639041,397,RSLP
201500119548371639041,451,RSLPS
201500119548371639041,437,UniNE
201500120559371637951,768,NoStem
201500120559371637951,680,Porter
201500120559371637951,649,RSLP
201500120559371637951,739,RSLPS
201500120559371637951,720,UniNE
201500121930371638181,231,NoStem
201500121930371638181,218,Porter
201500121930371638181,205,RSLP
201500121930371638181,226,RSLPS
201500121930371638181,221,UniNE
201500122966371639431,354,NoStem
201500122966371639431,335,Porter
201500122966371639431,318,RSLP
201500122966371639431,347,RSLPS
201500122966371639431,340,UniNE
201500123729371639321,227,NoStem
201500123729371639321,213,Porter
201500123729371639321,200,RSLP
201500123729371639321,223,RSLPS
201500123729371639321,218,UniNE
201500123763371638761,409,NoStem
201500123763371638761,381,Porter
201500123763371638761,356,RSLP
201500123763371638761,397,RSLPS
201500123763371638761,394,UniNE
201500124572371638801,242,NoStem
201500124572371638801,228,Porter
201500124572371638801,214,RSLP
201500124572371638801,238,RSLPS
201500124572371638801,233,UniNE
201500125985371638973,109,NoStem
201500125985371638973,105,Porter
201500125985371638973,102,RSLP
201500125985371638973,106,RSLPS
201500125985371638973,108,UniNE
201500127634371639321,233,NoStem
201500127634371639321,216,Porter
201500127634371639321,203,RSLP
201500127634371639321,228,RSLPS
201500127634371639321,222,UniNE
201500128720371639321,223,NoStem
201500128720371639321,209,Porter
201500128720371639321,196,RSLP
201500128720371639321,218,RSLPS
201500128720371639321,213,UniNE
201500128723371639321,221,NoStem
201500128723371639321,207,Porter
201500128723371639321,194,RSLP
201500128723371639321,217,RSLPS
201500128723371639321,212,UniNE
201500129058371641351,427,NoStem
201500129058371641351,382,Porter
201500129058371641351,361,RSLP
201500129058371641351,405,RSLPS
201500129058371641351,397,UniNE
201500129255371638881,527,NoStem
201500129255371638881,480,Porter
201500129255371638881,460,RSLP
201500129255371638881,520,RSLPS
201500129255371638881,513,UniNE
201500130665371639441,219,NoStem
201500130665371639441,203,Porter
201500130665371639441,192,RSLP
201500130665371639441,215,RSLPS
201500130665371639441,210,UniNE
201500130800371640583,372,NoStem
201500130800371640583,342,Porter
201500130800371640583,333,RSLP
201500130800371640583,369,RSLPS
201500130800371640583,361,UniNE
201500130928371640761,682,NoStem
201500130928371640761,616,Porter
201500130928371640761,576,RSLP
201500130928371640761,654,RSLPS
201500130928371640761,638,UniNE
201600100197371639562,223,NoStem
201600100197371639562,209,Porter
201600100197371639562,196,RSLP
201600100197371639562,219,RSLPS
201600100197371639562,214,UniNE
201600100201371639562,219,NoStem
201600100201371639562,203,Porter
201600100201371639562,191,RSLP
201600100201371639562,215,RSLPS
201600100201371639562,210,UniNE
201600100202371639522,225,NoStem
201600100202371639522,211,Porter
201600100202371639522,197,RSLP
201600100202371639522,220,RSLPS
201600100202371639522,216,UniNE
201600100337371639522,222,NoStem
201600100337371639522,206,Porter
201600100337371639522,193,RSLP
201600100337371639522,217,RSLPS
201600100337371639522,212,UniNE
201600100343371639562,242,NoStem
201600100343371639562,226,Porter
201600100343371639562,212,RSLP
