Chave,TUD,Stemmer
201500302269371635891,204,RSLP
201500302269371635891,223,RSLPS
201500302269371635891,219,UniNE
201500305325371636204,351,NoStem
201500305325371636204,329,Porter
201500305325371636204,315,RSLP
201500305325371636204,343,RSLPS
201500305325371636204,338,UniNE
201500307288371636841,35,NoStem
201500307288371636841,35,Porter
201500307288371636841,35,RSLP
201500307288371636841,35,RSLPS
201500307288371636841,35,UniNE
201500308774371637541,36,NoStem
201500308774371637541,36,Porter
201500308774371637541,36,RSLP
201500308774371637541,36,RSLPS
201500308774371637541,36,UniNE
201500309577371636721,107,NoStem
201500309577371636721,106,Porter
201500309577371636721,100,RSLP
201500309577371636721,105,RSLPS
201500309577371636721,107,UniNE
201500311539371637221,215,NoStem
201500311539371637221,207,Porter
201500311539371637221,196,RSLP
201500311539371637221,210,RSLPS
201500311539371637221,210,UniNE
201500311630371637063,406,NoStem
201500311630371637063,373,Porter
201500311630371637063,352,RSLP
201500311630371637063,396,RSLPS
201500311630371637063,390,UniNE
201500312300371637006,311,NoStem
201500312300371637006,287,Porter
201500312300371637006,272,RSLP
201500312300371637006,300,RSLPS
201500312300371637006,299,UniNE
201500312454371637014,272,NoStem
201500312454371637014,257,Porter
201500312454371637014,245,RSLP
201500312454371637014,263,RSLPS
201500312454371637014,265,UniNE
201500312534371637181,43,NoStem
201500312534371637181,43,Porter
201500312534371637181,41,RSLP
201500312534371637181,42,RSLPS
201500312534371637181,43,UniNE
201500312808371637111,102,NoStem
201500312808371637111,101,Porter
201500312808371637111,97,RSLP
201500312808371637111,101,RSLPS
201500312808371637111,102,UniNE
201500313069371637191,334,NoStem
201500313069371637191,310,Porter
201500313069371637191,297,RSLP
201500313069371637191,328,RSLPS
201500313069371637191,325,UniNE
201500314397371637261,202,NoStem
201500314397371637261,183,Porter
201500314397371637261,175,RSLP
201500314397371637261,194,RSLPS
201500314397371637261,191,UniNE
201500314562371637281,327,NoStem
201500314562371637281,302,Porter
201500314562371637281,286,RSLP
201500314562371637281,319,RSLPS
201500314562371637281,317,UniNE
201500315080371638011,159,NoStem
201500315080371638011,152,Porter
201500315080371638011,147,RSLP
201500315080371638011,158,RSLPS
201500315080371638011,158,UniNE
201500315199371637334,147,NoStem
201500315199371637334,140,Porter
201500315199371637334,128,RSLP
201500315199371637334,142,RSLPS
201500315199371637334,143,UniNE
201500315651371637363,193,NoStem
201500315651371637363,181,Porter
201500315651371637363,174,RSLP
201500315651371637363,192,RSLPS
201500315651371637363,188,UniNE
201500316357371639011,58,NoStem
201500316357371639011,56,Porter
201500316357371639011,54,RSLP
201500316357371639011,58,RSLPS
201500316357371639011,57,UniNE
201500316475371637465,298,NoStem
201500316475371637465,274,Porter
201500316475371637465,261,RSLP
201500316475371637465,289,RSLPS
201500316475371637465,286,UniNE
201500316690371637484,291,NoStem
201500316690371637484,270,Porter
201500316690371637484,258,RSLP
201500316690371637484,282,RSLPS
201500316690371637484,279,UniNE
201500319036371637841,298,NoStem
201500319036371637841,274,Porter
201500319036371637841,265,RSLP
201500319036371637841,288,RSLPS
